group,variable,value
adeF,1365,0
ugd,1365,1
soxS,1365,1
soxR,1365,1
nfsA,1365,1
msbA,1365,1
mdtP,1365,1
mdtO,1365,1
mdtN,1365,1
mdtM,1365,1
mdtH,1365,1
mdtG,1365,1
mdtF,1365,1
mdtE,1365,1
mdtC,1365,1
mdtB,1365,1
mdtA,1365,1
mdfA,1365,1
marR,1365,1
marA,1365,1
kdpE,1365,1
gadX,1365,1
evgS,1365,1
evgA,1365,1
eptA,1365,1
emrY,1365,1
emrR,1365,1
emrK,1365,1
emrE,1365,1
emrB,1365,1
emrA,1365,1
cpxA,1365,1
baeS,1365,1
baeR,1365,1
bacA,1365,1
acrR,1365,1
acrB,1365,1
acrA,1365,1
YojI,1365,1
TolC,1365,1
PmrF,1365,1
H-NS,1365,1
GlpT,1365,1
CRP,1365,1
BUT-1,1365,1
AcrS,1365,1
AcrE,1365,1
AcrF,1365,1
gadW,1688,0
CARB-21,1688,0
CARB-18,1688,0
CARB-22,1688,0
OCH-7,1688,0
CARB-20,1688,0
rpoB,1688,0
acrD,1688,1
tetR,1688,1
tet(B),1688,1
tet(D),1688,1
vgaC,1688,0
sul2,1688,0
parC,1688,0
gyrA,1688,0
floR,1688,0
dfrA5,1688,0
APH(3'')-Ib,1688,0
ICR-Mc,1688,0
ANT(4')-IIb,1688,0
adeF,1688,0
ugd,1688,1
soxS,1688,1
soxR,1688,1
nfsA,1688,1
msbA,1688,1
mdtP,1688,1
mdtO,1688,1
mdtN,1688,1
mdtM,1688,1
mdtH,1688,1
mdtG,1688,1
mdtF,1688,1
mdtE,1688,1
mdtC,1688,1
mdtB,1688,1
mdtA,1688,1
mdfA,1688,1
marR,1688,1
marA,1688,1
kdpE,1688,1
gadX,1688,1
evgS,1688,1
evgA,1688,1
eptA,1688,1
emrY,1688,1
emrR,1688,1
emrK,1688,1
emrE,1688,1
emrB,1688,1
emrA,1688,1
cpxA,1688,1
baeS,1688,1
baeR,1688,1
bacA,1688,1
acrR,1688,1
acrB,1688,1
acrA,1688,1
YojI,1688,1
TolC,1688,1
PmrF,1688,1
H-NS,1688,1
GlpT,1688,1
CRP,1688,1
BUT-1,1688,1
AcrS,1688,1
AcrE,1688,1
AcrF,1688,1
gadW,1814,1
CARB-21,1814,0
CARB-18,1814,0
CARB-22,1814,0
OCH-7,1814,0
CARB-20,1814,0
rpoB,1814,0
acrD,1814,0
tetR,1814,0
tet(B),1814,0
tet(D),1814,0
vgaC,1814,1
sul2,1814,1
parC,1814,1
gyrA,1814,1
floR,1814,1
dfrA5,1814,1
APH(3'')-Ib,1814,1
ICR-Mc,1814,1
ANT(4')-IIb,1814,1
adeF,1814,1
ugd,1814,1
soxS,1814,1
soxR,1814,1
nfsA,1814,1
msbA,1814,1
mdtP,1814,1
mdtO,1814,1
mdtN,1814,1
mdtM,1814,1
mdtH,1814,1
mdtG,1814,1
mdtF,1814,1
mdtE,1814,1
mdtC,1814,1
mdtB,1814,1
mdtA,1814,1
mdfA,1814,1
marR,1814,1
marA,1814,1
kdpE,1814,1
gadX,1814,1
evgS,1814,1
evgA,1814,1
eptA,1814,1
emrY,1814,1
emrR,1814,1
emrK,1814,1
emrE,1814,1
emrB,1814,1
emrA,1814,1
cpxA,1814,1
baeS,1814,1
baeR,1814,1
bacA,1814,1
acrR,1814,1
acrB,1814,1
acrA,1814,1
YojI,1814,1
TolC,1814,1
PmrF,1814,1
H-NS,1814,1
GlpT,1814,1
CRP,1814,1
BUT-1,1814,1
AcrS,1814,1
AcrE,1814,1
AcrF,1814,1
gadW,1729,1
CARB-21,1729,0
CARB-18,1729,0
CARB-22,1729,0
OCH-7,1729,0
CARB-20,1729,0
rpoB,1729,0
acrD,1729,0
tetR,1729,0
tet(B),1729,0
tet(D),1729,0
vgaC,1729,1
sul2,1729,1
parC,1729,1
gyrA,1729,1
floR,1729,1
dfrA5,1729,1
APH(3'')-Ib,1729,1
ICR-Mc,1729,1
ANT(4')-IIb,1729,1
adeF,1729,1
ugd,1729,1
soxS,1729,1
soxR,1729,1
nfsA,1729,1
msbA,1729,1
mdtP,1729,1
mdtO,1729,1
mdtN,1729,1
mdtM,1729,1
mdtH,1729,1
mdtG,1729,1
mdtF,1729,1
mdtE,1729,1
mdtC,1729,1
mdtB,1729,1
mdtA,1729,1
mdfA,1729,1
marR,1729,1
marA,1729,1
kdpE,1729,1
gadX,1729,1
evgS,1729,1
evgA,1729,1
eptA,1729,1
emrY,1729,1
emrR,1729,1
emrK,1729,1
emrE,1729,1
emrB,1729,1
emrA,1729,1
cpxA,1729,1
baeS,1729,1
baeR,1729,1
bacA,1729,1
acrR,1729,1
acrB,1729,1
acrA,1729,1
YojI,1729,1
TolC,1729,1
PmrF,1729,1
H-NS,1729,1
GlpT,1729,1
CRP,1729,1
BUT-1,1729,1
AcrS,1729,1
AcrE,1729,1
AcrF,1729,1
gadW,1891,1
CARB-21,1891,0
CARB-18,1891,0
CARB-22,1891,0
OCH-7,1891,0
CARB-20,1891,0
rpoB,1891,0
acrD,1891,0
tetR,1891,0
tet(B),1891,0
tet(D),1891,0
vgaC,1891,1
sul2,1891,1
parC,1891,1
gyrA,1891,1
floR,1891,1
dfrA5,1891,1
APH(3'')-Ib,1891,1
ICR-Mc,1891,1
ANT(4')-IIb,1891,1
adeF,1891,1
ugd,1891,1
soxS,1891,1
soxR,1891,1
nfsA,1891,1
msbA,1891,1
mdtP,1891,1
mdtO,1891,1
mdtN,1891,1
mdtM,1891,1
mdtH,1891,1
mdtG,1891,1
mdtF,1891,1
mdtE,1891,1
mdtC,1891,1
mdtB,1891,1
mdtA,1891,1
mdfA,1891,1
marR,1891,1
marA,1891,1
kdpE,1891,1
gadX,1891,1
evgS,1891,1
evgA,1891,1
eptA,1891,1
emrY,1891,1
emrR,1891,1
emrK,1891,1
emrE,1891,1
emrB,1891,1
emrA,1891,1
cpxA,1891,1
baeS,1891,1
baeR,1891,1
bacA,1891,1
acrR,1891,1
acrB,1891,1
acrA,1891,1
YojI,1891,1
TolC,1891,1
PmrF,1891,1
H-NS,1891,1
GlpT,1891,1
CRP,1891,1
BUT-1,1891,1
AcrS,1891,1
AcrE,1891,1
AcrF,1891,1
gadW,1042,1
CARB-21,1042,0
CARB-18,1042,0
CARB-22,1042,0
OCH-7,1042,0
CARB-20,1042,0
rpoB,1042,0
acrD,1042,0
tetR,1042,0
tet(B),1042,0
tet(D),1042,0
vgaC,1042,1
sul2,1042,1
parC,1042,1
gyrA,1042,1
floR,1042,1
dfrA5,1042,1
APH(3'')-Ib,1042,1
ICR-Mc,1042,1
ANT(4')-IIb,1042,1
adeF,1042,1
ugd,1042,1
soxS,1042,1
soxR,1042,1
nfsA,1042,1
msbA,1042,1
mdtP,1042,1
mdtO,1042,1
mdtN,1042,1
mdtM,1042,1
mdtH,1042,1
mdtG,1042,1
mdtF,1042,1
mdtE,1042,1
mdtC,1042,1
mdtB,1042,1
mdtA,1042,1
mdfA,1042,1
marR,1042,1
marA,1042,1
kdpE,1042,1
gadX,1042,1
evgS,1042,1
evgA,1042,1
eptA,1042,1
emrY,1042,1
emrR,1042,1
emrK,1042,1
emrE,1042,1
emrB,1042,1
emrA,1042,1
cpxA,1042,1
baeS,1042,1
baeR,1042,1
bacA,1042,1
acrR,1042,1
acrB,1042,1
acrA,1042,1
YojI,1042,1
TolC,1042,1
PmrF,1042,1
H-NS,1042,1
GlpT,1042,1
CRP,1042,1
BUT-1,1042,1
AcrS,1042,1
AcrE,1042,1
AcrF,1042,1
gadW,1552,1
CARB-21,1552,0
CARB-18,1552,0
CARB-22,1552,0
OCH-7,1552,0
CARB-20,1552,0
rpoB,1552,0
acrD,1552,0
tetR,1552,0
tet(B),1552,0
tet(D),1552,0
vgaC,1552,1
sul2,1552,1
parC,1552,1
gyrA,1552,1
floR,1552,1
dfrA5,1552,1
APH(3'')-Ib,1552,1
ICR-Mc,1552,1
ANT(4')-IIb,1552,1
adeF,1552,1
ugd,1552,1
soxS,1552,1
soxR,1552,1
nfsA,1552,1
msbA,1552,1
mdtP,1552,1
mdtO,1552,1
mdtN,1552,1
mdtM,1552,1
mdtH,1552,1
mdtG,1552,1
mdtF,1552,1
mdtE,1552,1
mdtC,1552,1
mdtB,1552,1
mdtA,1552,1
mdfA,1552,1
marR,1552,1
marA,1552,1
kdpE,1552,1
gadX,1552,1
evgS,1552,1
evgA,1552,1
eptA,1552,1
emrY,1552,1
emrR,1552,1
emrK,1552,1
emrE,1552,1
emrB,1552,1
emrA,1552,1
cpxA,1552,1
baeS,1552,1
baeR,1552,1
bacA,1552,1
acrR,1552,1
acrB,1552,1
acrA,1552,1
YojI,1552,1
TolC,1552,1
PmrF,1552,1
H-NS,1552,1
GlpT,1552,1
CRP,1552,1
BUT-1,1552,1
AcrS,1552,1
AcrE,1552,1
AcrF,1552,1
gadW,1288,1
CARB-21,1288,0
CARB-18,1288,0
CARB-22,1288,0
OCH-7,1288,0
CARB-20,1288,0
rpoB,1288,0
acrD,1288,0
tetR,1288,0
tet(B),1288,0
tet(D),1288,0
vgaC,1288,0
sul2,1288,0
parC,1288,0
gyrA,1288,0
floR,1288,0
dfrA5,1288,0
APH(3'')-Ib,1288,0
ICR-Mc,1288,0
ANT(4')-IIb,1288,0
adeF,1288,1
ugd,1288,1
soxS,1288,1
soxR,1288,1
nfsA,1288,1
msbA,1288,1
mdtP,1288,1
mdtO,1288,1
mdtN,1288,1
mdtM,1288,1
mdtH,1288,1
mdtG,1288,1
mdtF,1288,1
mdtE,1288,1
mdtC,1288,1
mdtB,1288,1
mdtA,1288,1
mdfA,1288,1
marR,1288,1
marA,1288,1
kdpE,1288,1
gadX,1288,1
evgS,1288,1
evgA,1288,1
eptA,1288,1
emrY,1288,1
emrR,1288,1
emrK,1288,1
emrE,1288,1
emrB,1288,1
emrA,1288,1
cpxA,1288,1
baeS,1288,1
baeR,1288,1
bacA,1288,1
acrR,1288,1
acrB,1288,1
acrA,1288,1
YojI,1288,1
TolC,1288,1
PmrF,1288,1
H-NS,1288,1
GlpT,1288,1
CRP,1288,1
BUT-1,1288,1
AcrS,1288,1
AcrE,1288,1
AcrF,1288,1
gadW,1671,1
CARB-21,1671,0
CARB-18,1671,0
CARB-22,1671,0
OCH-7,1671,0
CARB-20,1671,0
rpoB,1671,0
acrD,1671,0
tetR,1671,0
tet(B),1671,0
tet(D),1671,0
vgaC,1671,0
sul2,1671,0
parC,1671,0
gyrA,1671,0
floR,1671,0
dfrA5,1671,0
APH(3'')-Ib,1671,0
ICR-Mc,1671,0
ANT(4')-IIb,1671,0
adeF,1671,1
ugd,1671,1
soxS,1671,1
soxR,1671,1
nfsA,1671,1
msbA,1671,1
mdtP,1671,1
mdtO,1671,1
mdtN,1671,1
mdtM,1671,1
mdtH,1671,1
mdtG,1671,1
mdtF,1671,1
mdtE,1671,1
mdtC,1671,1
mdtB,1671,1
mdtA,1671,1
mdfA,1671,1
marR,1671,1
marA,1671,1
kdpE,1671,1
gadX,1671,1
evgS,1671,1
evgA,1671,1
eptA,1671,1
emrY,1671,1
emrR,1671,1
emrK,1671,1
emrE,1671,1
emrB,1671,1
emrA,1671,1
cpxA,1671,1
baeS,1671,1
baeR,1671,1
bacA,1671,1
acrR,1671,1
acrB,1671,1
acrA,1671,1
YojI,1671,1
TolC,1671,1
PmrF,1671,1
H-NS,1671,1
GlpT,1671,1
CRP,1671,1
BUT-1,1671,1
AcrS,1671,1
AcrE,1671,1
AcrF,1671,1
gadW,1200,1
CARB-21,1200,0
CARB-18,1200,0
CARB-22,1200,0
OCH-7,1200,0
CARB-20,1200,0
rpoB,1200,0
acrD,1200,0
tetR,1200,0
tet(B),1200,0
tet(D),1200,0
vgaC,1200,0
sul2,1200,0
parC,1200,0
gyrA,1200,0
floR,1200,0
dfrA5,1200,0
APH(3'')-Ib,1200,0
ICR-Mc,1200,0
ANT(4')-IIb,1200,0
adeF,1200,1
ugd,1200,1
soxS,1200,1
soxR,1200,1
nfsA,1200,1
msbA,1200,1
mdtP,1200,1
mdtO,1200,1
mdtN,1200,1
mdtM,1200,1
mdtH,1200,1
mdtG,1200,1
mdtF,1200,1
mdtE,1200,1
mdtC,1200,1
mdtB,1200,1
mdtA,1200,1
mdfA,1200,1
marR,1200,1
marA,1200,1
kdpE,1200,1
gadX,1200,1
evgS,1200,1
evgA,1200,1
eptA,1200,1
emrY,1200,1
emrR,1200,1
emrK,1200,1
emrE,1200,1
emrB,1200,1
emrA,1200,1
cpxA,1200,1
baeS,1200,1
baeR,1200,1
bacA,1200,1
acrR,1200,1
acrB,1200,1
acrA,1200,1
YojI,1200,1
TolC,1200,1
PmrF,1200,1
H-NS,1200,1
GlpT,1200,1
CRP,1200,1
BUT-1,1200,1
AcrS,1200,1
AcrE,1200,1
AcrF,1200,1
gadW,1913,1
CARB-21,1913,0
CARB-18,1913,0
CARB-22,1913,0
OCH-7,1913,0
CARB-20,1913,0
rpoB,1913,0
acrD,1913,0
tetR,1913,0
tet(B),1913,0
tet(D),1913,0
vgaC,1913,0
sul2,1913,0
parC,1913,0
gyrA,1913,0
floR,1913,0
dfrA5,1913,0
APH(3'')-Ib,1913,0
ICR-Mc,1913,0
ANT(4')-IIb,1913,0
adeF,1913,1
ugd,1913,1
soxS,1913,1
soxR,1913,1
nfsA,1913,1
msbA,1913,1
mdtP,1913,1
mdtO,1913,1
mdtN,1913,1
mdtM,1913,1
mdtH,1913,1
mdtG,1913,1
mdtF,1913,1
mdtE,1913,1
mdtC,1913,1
mdtB,1913,1
mdtA,1913,1
mdfA,1913,1
marR,1913,1
marA,1913,1
kdpE,1913,1
gadX,1913,1
evgS,1913,1
evgA,1913,1
eptA,1913,1
emrY,1913,1
emrR,1913,1
emrK,1913,1
emrE,1913,1
emrB,1913,1
emrA,1913,1
cpxA,1913,1
baeS,1913,1
baeR,1913,1
bacA,1913,1
acrR,1913,1
acrB,1913,1
acrA,1913,1
YojI,1913,1
TolC,1913,1
PmrF,1913,1
H-NS,1913,1
GlpT,1913,1
CRP,1913,1
BUT-1,1913,1
AcrS,1913,1
AcrE,1913,1
AcrF,1913,1
gadW,1203,1
CARB-21,1203,0
CARB-18,1203,0
CARB-22,1203,0
OCH-7,1203,0
CARB-20,1203,0
rpoB,1203,0
acrD,1203,0
tetR,1203,0
tet(B),1203,0
tet(D),1203,0
vgaC,1203,0
sul2,1203,0
parC,1203,0
gyrA,1203,0
floR,1203,0
dfrA5,1203,0
APH(3'')-Ib,1203,0
ICR-Mc,1203,0
ANT(4')-IIb,1203,1
adeF,1203,1
ugd,1203,1
soxS,1203,1
soxR,1203,1
nfsA,1203,1
msbA,1203,1
mdtP,1203,1
mdtO,1203,1
mdtN,1203,1
mdtM,1203,1
mdtH,1203,1
mdtG,1203,1
mdtF,1203,1
mdtE,1203,1
mdtC,1203,1
mdtB,1203,1
mdtA,1203,1
mdfA,1203,1
marR,1203,1
marA,1203,1
kdpE,1203,1
gadX,1203,1
evgS,1203,1
evgA,1203,1
eptA,1203,1
emrY,1203,1
emrR,1203,1
emrK,1203,1
emrE,1203,1
emrB,1203,1
emrA,1203,1
cpxA,1203,1
baeS,1203,1
baeR,1203,1
bacA,1203,1
acrR,1203,1
acrB,1203,1
acrA,1203,1
YojI,1203,1
TolC,1203,1
PmrF,1203,1
H-NS,1203,1
GlpT,1203,1
CRP,1203,1
BUT-1,1203,1
AcrS,1203,1
AcrE,1203,1
AcrF,1203,1
gadW,1686,1
CARB-21,1686,0
CARB-18,1686,0
CARB-22,1686,0
OCH-7,1686,1
CARB-20,1686,0
rpoB,1686,0
acrD,1686,0
tetR,1686,0
tet(B),1686,0
tet(D),1686,0
vgaC,1686,0
sul2,1686,0
parC,1686,0
gyrA,1686,0
floR,1686,0
dfrA5,1686,0
APH(3'')-Ib,1686,0
ICR-Mc,1686,0
ANT(4')-IIb,1686,1
adeF,1686,1
ugd,1686,1
soxS,1686,1
soxR,1686,1
nfsA,1686,1
msbA,1686,1
mdtP,1686,1
mdtO,1686,1
mdtN,1686,1
mdtM,1686,1
mdtH,1686,1
mdtG,1686,1
mdtF,1686,1
mdtE,1686,1
mdtC,1686,1
mdtB,1686,1
mdtA,1686,1
mdfA,1686,1
marR,1686,1
marA,1686,1
kdpE,1686,1
gadX,1686,1
evgS,1686,1
evgA,1686,1
eptA,1686,1
emrY,1686,1
emrR,1686,1
emrK,1686,1
emrE,1686,1
emrB,1686,1
emrA,1686,1
cpxA,1686,1
baeS,1686,1
baeR,1686,1
bacA,1686,1
acrR,1686,1
acrB,1686,1
acrA,1686,1
YojI,1686,1
TolC,1686,1
PmrF,1686,1
H-NS,1686,1
GlpT,1686,1
CRP,1686,1
BUT-1,1686,1
AcrS,1686,1
AcrE,1686,1
AcrF,1686,1
gadW,1240,1
CARB-21,1240,0
CARB-18,1240,0
CARB-22,1240,0
OCH-7,1240,0
CARB-20,1240,0
rpoB,1240,0
acrD,1240,0
tetR,1240,0
tet(B),1240,0
tet(D),1240,0
vgaC,1240,0
sul2,1240,0
parC,1240,0
gyrA,1240,0
floR,1240,0
dfrA5,1240,0
APH(3'')-Ib,1240,0
ICR-Mc,1240,0
ANT(4')-IIb,1240,1
adeF,1240,1
ugd,1240,1
soxS,1240,1
soxR,1240,1
nfsA,1240,1
msbA,1240,1
mdtP,1240,1
mdtO,1240,1
mdtN,1240,1
mdtM,1240,1
mdtH,1240,1
mdtG,1240,1
mdtF,1240,1
mdtE,1240,1
mdtC,1240,1
mdtB,1240,1
mdtA,1240,1
mdfA,1240,1
marR,1240,1
marA,1240,1
kdpE,1240,1
gadX,1240,1
evgS,1240,1
evgA,1240,1
eptA,1240,1
emrY,1240,1
emrR,1240,1
emrK,1240,1
emrE,1240,1
emrB,1240,1
emrA,1240,1
cpxA,1240,1
baeS,1240,1
baeR,1240,1
bacA,1240,1
acrR,1240,1
acrB,1240,1
acrA,1240,1
YojI,1240,1
TolC,1240,1
PmrF,1240,1
H-NS,1240,1
GlpT,1240,1
CRP,1240,1
BUT-1,1240,1
AcrS,1240,1
AcrE,1240,1
AcrF,1240,1
gadW,1204,1
CARB-21,1204,0
CARB-18,1204,0
CARB-22,1204,0
OCH-7,1204,0
CARB-20,1204,0
rpoB,1204,0
acrD,1204,0
tetR,1204,0
tet(B),1204,0
tet(D),1204,0
vgaC,1204,0
sul2,1204,0
parC,1204,0
gyrA,1204,0
floR,1204,0
dfrA5,1204,0
APH(3'')-Ib,1204,0
ICR-Mc,1204,0
ANT(4')-IIb,1204,1
adeF,1204,1
ugd,1204,1
soxS,1204,1
soxR,1204,1
nfsA,1204,1
msbA,1204,1
mdtP,1204,1
mdtO,1204,1
mdtN,1204,1
mdtM,1204,1
mdtH,1204,1
mdtG,1204,1
mdtF,1204,1
mdtE,1204,1
mdtC,1204,1
mdtB,1204,1
mdtA,1204,1
mdfA,1204,1
marR,1204,1
marA,1204,1
kdpE,1204,1
gadX,1204,1
evgS,1204,1
evgA,1204,1
eptA,1204,1
emrY,1204,1
emrR,1204,1
emrK,1204,1
emrE,1204,1
emrB,1204,1
emrA,1204,1
cpxA,1204,1
baeS,1204,1
baeR,1204,1
bacA,1204,1
acrR,1204,1
acrB,1204,1
acrA,1204,1
YojI,1204,1
TolC,1204,1
PmrF,1204,1
H-NS,1204,1
GlpT,1204,1
CRP,1204,1
BUT-1,1204,1
AcrS,1204,1
AcrE,1204,1
AcrF,1204,1
gadW,1357,1
CARB-21,1357,0
CARB-18,1357,0
CARB-22,1357,0
OCH-7,1357,0
CARB-20,1357,0
rpoB,1357,0
acrD,1357,0
tetR,1357,0
tet(B),1357,0
tet(D),1357,0
vgaC,1357,0
sul2,1357,0
parC,1357,0
gyrA,1357,0
floR,1357,0
dfrA5,1357,0
APH(3'')-Ib,1357,0
ICR-Mc,1357,0
ANT(4')-IIb,1357,1
adeF,1357,1
ugd,1357,1
soxS,1357,1
soxR,1357,1
nfsA,1357,1
msbA,1357,1
mdtP,1357,1
mdtO,1357,1
mdtN,1357,1
mdtM,1357,1
mdtH,1357,1
mdtG,1357,1
mdtF,1357,1
mdtE,1357,1
mdtC,1357,1
mdtB,1357,1
mdtA,1357,1
mdfA,1357,1
marR,1357,1
marA,1357,1
kdpE,1357,1
gadX,1357,1
evgS,1357,1
evgA,1357,1
eptA,1357,1
emrY,1357,1
emrR,1357,1
emrK,1357,1
emrE,1357,1
emrB,1357,1
emrA,1357,1
cpxA,1357,1
baeS,1357,1
baeR,1357,1
bacA,1357,1
acrR,1357,1
acrB,1357,1
acrA,1357,1
YojI,1357,1
TolC,1357,1
PmrF,1357,1
H-NS,1357,1
GlpT,1357,1
CRP,1357,1
BUT-1,1357,1
AcrS,1357,1
AcrE,1357,1
AcrF,1357,1
gadW,1743,1
CARB-21,1743,0
CARB-18,1743,0
CARB-22,1743,0
OCH-7,1743,0
CARB-20,1743,0
rpoB,1743,0
acrD,1743,0
tetR,1743,0
tet(B),1743,0
tet(D),1743,0
vgaC,1743,0
sul2,1743,0
parC,1743,0
gyrA,1743,0
floR,1743,0
dfrA5,1743,0
APH(3'')-Ib,1743,0
ICR-Mc,1743,0
ANT(4')-IIb,1743,1
adeF,1743,1
ugd,1743,1
soxS,1743,1
soxR,1743,1
nfsA,1743,1
msbA,1743,1
mdtP,1743,1
mdtO,1743,1
mdtN,1743,1
mdtM,1743,1
mdtH,1743,1
mdtG,1743,1
mdtF,1743,1
mdtE,1743,1
mdtC,1743,1
mdtB,1743,1
mdtA,1743,1
mdfA,1743,1
marR,1743,1
marA,1743,1
kdpE,1743,1
gadX,1743,1
evgS,1743,1
evgA,1743,1
eptA,1743,1
emrY,1743,1
emrR,1743,1
emrK,1743,1
emrE,1743,1
emrB,1743,1
emrA,1743,1
cpxA,1743,1
baeS,1743,1
baeR,1743,1
bacA,1743,1
acrR,1743,1
acrB,1743,1
acrA,1743,1
YojI,1743,1
TolC,1743,1
PmrF,1743,1
H-NS,1743,1
GlpT,1743,1
CRP,1743,1
BUT-1,1743,1
AcrS,1743,1
AcrE,1743,1
AcrF,1743,1
